"avatar_id","avatar_name","gender","premium","preview_image_url","preview_video_url"
"Leos_standing_office_front","Leos Office Front 2","male","False","https://files2.heygen.ai/avatar/v3/aab1172d472e474e98a85e262dab0dae_38050/preview_talk_1.webp","https://files2.heygen.ai/avatar/v3/aab1172d472e474e98a85e262dab0dae_38050/preview_video_talk_1.mp4"
"Leos_sitting_office_front","Leos Office Front","male","False","https://files2.heygen.ai/avatar/v3/167f0f21269445be8eb3964aee62bbad_38050/preview_target.webp","https://files2.heygen.ai/avatar/v3/167f0f21269445be8eb3964aee62bbad_38050/preview_video_target.mp4"
"Leos_standing_office_side","Leos Office Side 2","male","False","https://files2.heygen.ai/avatar/v3/bb7d7a3065934a589ce70b208624edfd_38060/preview_talk_1.webp","https://files2.heygen.ai/avatar/v3/bb7d7a3065934a589ce70b208624edfd_38060/preview_video_talk_1.mp4"
"Leos_sitting_office_side","Leos Office Side","male","False","https://files2.heygen.ai/avatar/v3/774bc8aa4baa452ea438af6ae7a7ab3d_38060/preview_target.webp","https://files2.heygen.ai/avatar/v3/774bc8aa4baa452ea438af6ae7a7ab3d_38060/preview_video_target.mp4"
"Leos_standing_sofa_front","Leos Sofa Front 2","male","False","https://files2.heygen.ai/avatar/v3/038adceb6f2a443099edf51f2836e12b_38260/preview_talk_1.webp","https://files2.heygen.ai/avatar/v3/038adceb6f2a443099edf51f2836e12b_38260/preview_video_talk_1.mp4"
"Leos_sitting_sofa_front","Leos Sofa Front","male","False","https://files2.heygen.ai/avatar/v3/4da0419e57454aab9e321f42aa972375_38260/preview_target.webp","https://files2.heygen.ai/avatar/v3/4da0419e57454aab9e321f42aa972375_38260/preview_video_target.mp4"
"Leos_standing_sofa_side","Leos Sofa Side 2","male","False","https://files2.heygen.ai/avatar/v3/dcbef159fe8047c88710734ecd77dc63_38270/preview_talk_1.webp","https://files2.heygen.ai/avatar/v3/dcbef159fe8047c88710734ecd77dc63_38270/preview_video_talk_1.mp4"
"Leos_sitting_sofa_side","Leos Sofa Side","male","False","https://files2.heygen.ai/avatar/v3/62caaf8e206a413e9783ce865b116832_38270/preview_target.webp","https://files2.heygen.ai/avatar/v3/62caaf8e206a413e9783ce865b116832_38270/preview_video_target.mp4"
"Leszek_sitting_lounge_front","Leszek Lounge Front","male","False","https://files2.heygen.ai/avatar/v3/67f5c5d34f304271a3d25de529ce669b_38490/preview_talk_1.webp","https://files2.heygen.ai/avatar/v3/67f5c5d34f304271a3d25de529ce669b_38490/preview_video_talk_1.mp4"
"Leszek_sitting_lounge_side","Leszek Lounge Side","male","False","https://files2.heygen.ai/avatar/v3/1995ed4d96bd4879937e7cbaae09eb4f_38500/preview_talk_2.webp","https://files2.heygen.ai/avatar/v3/1995ed4d96bd4879937e7cbaae09eb4f_38500/preview_video_talk_2.mp4"
"Leszek_standing_outdoorbusiness_front","Leszek Outdoor Business Front","male","False","https://files2.heygen.ai/avatar/v3/2536850380f14112b84b9dfa0ce5a8fb_38410/preview_target.webp","https://files2.heygen.ai/avatar/v3/2536850380f14112b84b9dfa0ce5a8fb_38410/preview_video_target.mp4"
"Leszek_standing_outdoorbusiness_side","Leszek Outdoor Business Side","male","False","https://files2.heygen.ai/avatar/v3/050132ae00574515a38afaf93820c80d_38400/preview_target.webp","https://files2.heygen.ai/avatar/v3/050132ae00574515a38afaf93820c80d_38400/preview_video_target.mp4"
